ID,companyName,salesOrderID,itemPosition,city,country,convertedAmount,currency,salesOrderCount
d218032a-ac1e-56a3-b042-13e51054c580,Asia High tech,500000013,30,100-0004 Tokyo,JP,62404,JPY,10
f963fac5-5024-5316-a66b-b63cb883a745,Asia High tech,500000013,40,100-0004 Tokyo,JP,116600,JPY,10
26acf782-964a-5651-b5e9-8ba0c266f309,Asia High tech,500000013,50,100-0004 Tokyo,JP,140409,JPY,10
448ed573-04b0-5feb-b8fc-a65167fbecbc,Asia High tech,500000013,60,100-0004 Tokyo,JP,108969,JPY,10
20c01559-0db7-5807-afde-10fc7f6406ff,Asia High tech,500000014,10,100-0004 Tokyo,JP,98234,JPY,10
a569f68c-114a-5ed6-b7fb-4d51777fe346,Asia High tech,500000014,20,100-0004 Tokyo,JP,74512,JPY,10
5e26908e-3a2a-556e-8c64-0e4a0b9c19c8,Asia High tech,500000014,30,100-0004 Tokyo,JP,105673,JPY,10
80bc09cc-3a87-51b7-9a15-bc75895d1bfb,Asia High tech,500000014,40,100-0004 Tokyo,JP,58291,JPY,10
c3410602-b3b3-55c5-b30d-5c28f5593780,Asia High tech,500000014,50,100-0004 Tokyo,JP,40428,JPY,10
5f3945c6-d3e1-5847-8aa2-2901a92c2179,Asia High tech,500000022,10,100-0004 Tokyo,JP,18750,JPY,10
20e88504-fc86-52a7-9632-a0444c73a52e,Asia High tech,500000022,20,100-0004 Tokyo,JP,22104,JPY,10
f2edc840-0dc6-5b50-ac69-5868bd5555d1,Asia High tech,500000022,30,100-0004 Tokyo,JP,10300,JPY,10
a3f7611d-2bf7-52c5-963f-c2ba7ca2478c,Asia High tech,500000022,40,100-0004 Tokyo,JP,8450,JPY,10
cc68a39d-bb14-5c9d-89e9-b41e99196946,Asia High tech,500000030,10,100-0004 Tokyo,JP,1843200,JPY,10
85daebf8-dcf0-58ba-8f58-e1fd0dd346d8,Asia High tech,500000030,20,100-0004 Tokyo,JP,2156780,JPY,10
9c3f4ad7-ab2d-55c3-993e-238120165764,Asia High tech,500000030,30,100-0004 Tokyo,JP,3012450,JPY,10
b33a4204-ac5e-592d-8fc5-bc2b35bf6b75,Asia High tech,500000030,40,100-0004 Tokyo,JP,1987600,JPY,10
1776b546-b963-5cb6-8991-8d38fc03e0e3,Asia High tech,500000030,50,100-0004 Tokyo,JP,2053744,JPY,10
59e13a97-62db-583e-ae2b-1dccc79a0ea6,Asia High tech,500000032,10,100-0004 Tokyo,JP,312450,JPY,10
5fb241f2-9ea9-5b0d-8a98-805c5c6656a7,Asia High tech,500000032,20,100-0004 Tokyo,JP,289300,JPY,10
820757c7-079c-5a07-a3cb-9834edc37ff6,Asia High tech,500000032,30,100-0004 Tokyo,JP,198750,JPY,10
9d1b447b-c015-5486-9081-20e41e4d99c7,Asia High tech,500000032,40,100-0004 Tokyo,JP,246889,JPY,10
5a558ee4-2467-59c1-87af-337fb3ff2f7a,Asia High tech,500000038,10,100-0004 Tokyo,JP,156780,JPY,10
3f16f93a-ee40-5e14-bd4c-766921b38fc2,Asia High tech,500000038,20,100-0004 Tokyo,JP,143290,JPY,10
ab8eb46b-d993-5ba2-bebf-7ac7c2cf029f,Asia High tech,500000038,30,100-0004 Tokyo,JP,98450,JPY,10
4ed56b45-f2fd-5044-868a-55313f939cb4,Asia High tech,500000038,40,100-0004 Tokyo,JP,87699,JPY,10
6a8a1fb9-4f5a-5457-850a-6922514c3e3d,Asia High tech,500000039,10,100-0004 Tokyo,JP,112599,JPY,10
718890f9-7087-5c9c-88eb-72f1fcdf0b8b,Asia High tech,500000039,20,100-0004 Tokyo,JP,133821,JPY,10
21cf5b6d-2ee0-51e7-8d41-2a6bef685c97,Asia High tech,500000039,30,100-0004 Tokyo,JP,47346,JPY,10
85833e50-44ec-5b4d-86af-602d2fcba63f,Asia High tech,500000039,40,100-0004 Tokyo,JP,1215,JPY,10
b875098f-6feb-5c5d-8e98-32cc460f9565,Asia High tech,500000039,50,100-0004 Tokyo,JP,936,JPY,10
9214fe3b-139d-5f0b-a73c-595856e2d1f7,Asia High tech,500000039,60,100-0004 Tokyo,JP,23934,JPY,10
6dad5642-fca1-5559-be51-d06ec040a66a,Asia High tech,500000048,10,100-0004 Tokyo,JP,40082,JPY,10
67489b35-2010-5da5-beac-59312d80586c,AVANTEL,600000001,10,Mexico City,MX,154320.5,MXN,5
bdf9782b-fc25-5b0c-8f90-cdf55f1afeb6,AVANTEL,600000001,20,Mexico City,MX,98745.25,MXN,5
55640ae0-7b68-574e-9448-9b4a11d3547e,AVANTEL,600000002,10,Mexico City,MX,213450.78,MXN,5
3975e2ae-2f16-59f1-9730-7520efad7ded,AVANTEL,600000002,20,Mexico City,MX,187630,MXN,5
d1a8e5f8-52d3-51e6-81f6-608ad3a314ee,AVANTEL,600000003,10,Mexico City,MX,272517,MXN,5
